epochs,accuracy,loss
0,0.08156666666666666,2.389723777770996
1,0.22626666666666667,2.207542657852173
2,0.32866666666666666,2.0753235816955566
3,0.42816666666666664,1.9289343357086182
4,0.5077666666666667,1.7802133560180664
5,0.5661833333333334,1.6466985940933228
6,0.6195333333333334,1.5354522466659546
7,0.6596666666666666,1.444186806678772
8,0.6845166666666667,1.3690621852874756
9,0.7042,1.3040318489074707
10,0.7223,1.2431427240371704
11,0.73915,1.18766188621521
12,0.7547666666666667,1.1390560865402222
13,0.7685666666666666,1.0950099229812622
14,0.7783,1.056876540184021
15,0.7877,1.0220941305160522
16,0.7970666666666667,0.9887571334838867
17,0.80565,0.9573987722396851
18,0.8132833333333334,0.9272047281265259
19,0.8214666666666667,0.8978490233421326
20,0.8272666666666667,0.8710901141166687
21,0.8333333333333334,0.8465148210525513
22,0.84025,0.824582576751709
23,0.8454666666666667,0.804998517036438
24,0.8497666666666667,0.7870650887489319
25,0.85455,0.769370436668396
26,0.8573,0.7522075772285461
27,0.8605666666666667,0.7350935339927673
28,0.8628166666666667,0.718685507774353
29,0.8653166666666666,0.7030121684074402
30,0.86775,0.6882522702217102
31,0.87005,0.6745906472206116
32,0.8722166666666666,0.6614828705787659
33,0.87335,0.6492854952812195
34,0.8753666666666666,0.6375210285186768
35,0.8770166666666667,0.6260973811149597
36,0.8788,0.6150422692298889
37,0.8805333333333333,0.6044356226921082
38,0.88235,0.5938819050788879
39,0.8840166666666667,0.5838724970817566
40,0.885,0.5743046998977661
41,0.8864833333333333,0.565227210521698
42,0.8873666666666666,0.5568245649337769
43,0.8885666666666666,0.5486418604850769
44,0.8893833333333333,0.5403857827186584
45,0.89055,0.5327587127685547
46,0.8914833333333333,0.5253697037696838
47,0.8928166666666667,0.5180028676986694
48,0.8939333333333334,0.5111310482025146
49,0.8951666666666667,0.5043865442276001
50,0.89615,0.4978957772254944
51,0.8975,0.49150022864341736
52,0.8983333333333333,0.4854421317577362
53,0.8991,0.4794735610485077
54,0.8999666666666667,0.4737395942211151
55,0.9004833333333333,0.46820029616355896
56,0.9011666666666667,0.46283087134361267
57,0.9018,0.4576217532157898
58,0.9024166666666666,0.4525366723537445
59,0.9030666666666667,0.4475623369216919
60,0.9037333333333334,0.4426948130130768
61,0.9044,0.43806856870651245
62,0.9045666666666666,0.433633416891098
63,0.9054,0.429347425699234
64,0.9056833333333333,0.42515134811401367
65,0.9063833333333333,0.4210560619831085
66,0.9070166666666667,0.4171573519706726
67,0.90755,0.41324928402900696
68,0.9084833333333333,0.409489244222641
69,0.90895,0.40604040026664734
70,0.90955,0.4027044177055359
71,0.9097833333333334,0.3991515338420868
72,0.91005,0.39602532982826233
73,0.9106,0.3925630450248718
74,0.91105,0.3893754184246063
