epochs,accuracy,loss
0,0.08161666666666667,2.3902862071990967
1,0.20786666666666667,2.2051796913146973
2,0.3625833333333333,2.0387871265411377
3,0.5166,1.8382294178009033
4,0.5865166666666667,1.6594748497009277
5,0.6113333333333333,1.5303666591644287
6,0.6444833333333333,1.413939118385315
7,0.6839,1.308848261833191
8,0.7060833333333333,1.2191201448440552
9,0.7167833333333333,1.1507599353790283
10,0.7260333333333333,1.0928162336349487
11,0.7372333333333333,1.0400110483169556
12,0.7517,0.9881591200828552
13,0.7613666666666666,0.9298496842384338
14,0.76915,0.8681614995002747
15,0.78165,0.8071507215499878
16,0.8045166666666667,0.7507628798484802
17,0.82485,0.7038012146949768
18,0.8344833333333334,0.662291407585144
19,0.8392166666666667,0.6284672021865845
20,0.8435666666666667,0.5975175499916077
21,0.8504166666666667,0.5663802027702332
22,0.8559,0.5413445830345154
23,0.8597166666666667,0.521929919719696
24,0.86405,0.5038673877716064
25,0.8700333333333333,0.4825998842716217
26,0.8732666666666666,0.46466413140296936
27,0.8751666666666666,0.44941553473472595
28,0.8765166666666667,0.4388766288757324
29,0.8797166666666667,0.4278373718261719
30,0.88375,0.41515257954597473
31,0.8872333333333333,0.4034650921821594
32,0.8892333333333333,0.3941764235496521
33,0.8909333333333334,0.38670793175697327
34,0.8928,0.3782559335231781
35,0.8944333333333333,0.3715868294239044
36,0.8963666666666666,0.36392489075660706
37,0.898,0.35758092999458313
38,0.8993333333333333,0.3536175787448883
39,0.89995,0.35073962807655334
40,0.9006333333333333,0.3473604917526245
41,0.9013166666666667,0.34203457832336426
42,0.9029,0.336772084236145
43,0.90465,0.3304811716079712
44,0.9066333333333333,0.3233579695224762
45,0.90755,0.3192196488380432
46,0.9091333333333333,0.31584736704826355
47,0.9101333333333333,0.31374266743659973
48,0.9101666666666667,0.31121358275413513
49,0.91115,0.3070240020751953
50,0.9116166666666666,0.3022327721118927
51,0.9129166666666667,0.29967036843299866
52,0.9136833333333333,0.29848167300224304
53,0.91445,0.297210156917572
54,0.91635,0.29385441541671753
55,0.9171666666666667,0.2895342707633972
56,0.9175166666666666,0.28578558564186096
57,0.9176833333333333,0.2840520739555359
58,0.9170166666666667,0.28339508175849915
59,0.9169333333333334,0.28333404660224915
60,0.9181166666666667,0.279654324054718
61,0.9200833333333334,0.2751271724700928
62,0.9208333333333333,0.27352598309516907
63,0.92065,0.2724047601222992
64,0.92135,0.2704255282878876
65,0.9222833333333333,0.26672470569610596
66,0.9225166666666667,0.26501619815826416
67,0.9226833333333333,0.2647046148777008
68,0.92275,0.2628573179244995
69,0.9242166666666667,0.2591957747936249
70,0.9254666666666667,0.2574889063835144
71,0.9259166666666667,0.25656476616859436
72,0.92615,0.255239337682724
73,0.9266,0.2542015314102173
74,0.9267666666666666,0.25199225544929504
75,0.92715,0.24989844858646393
76,0.9266666666666666,0.24938513338565826
77,0.9266,0.2491069883108139
78,0.92615,0.2490403652191162
79,0.92665,0.24822767078876495
80,0.92705,0.24692684412002563
81,0.9282833333333333,0.245621457695961
82,0.9287333333333333,0.2446034848690033
83,0.9296,0.2440975457429886
84,0.9295,0.24382996559143066
