epochs,accuracy,loss
0,0.13255,2.3002922534942627
1,0.2965833333333333,1.9084389209747314
2,0.54235,1.5421165227890015
3,0.53485,1.4538941383361816
4,0.56665,1.2580981254577637
5,0.7050333333333333,0.9126545190811157
6,0.7480666666666667,0.7772337198257446
7,0.7987,0.6770609021186829
8,0.8009666666666667,0.6518105268478394
9,0.8096666666666666,0.5968263149261475
10,0.84145,0.5147215127944946
11,0.8606666666666667,0.4654673635959625
12,0.8647833333333333,0.45139560103416443
13,0.8643833333333333,0.4466216564178467
14,0.87055,0.4299508035182953
15,0.8819666666666667,0.40222740173339844
16,0.88945,0.3810933232307434
17,0.89255,0.36531388759613037
18,0.8955166666666666,0.34986045956611633
19,0.9000333333333334,0.33553433418273926
20,0.9032166666666667,0.3251659572124481
21,0.9049166666666667,0.3191053569316864
22,0.90645,0.3132299780845642
23,0.90965,0.30392175912857056
24,0.9141166666666667,0.2916969358921051
25,0.9184666666666667,0.2802754342556
26,0.9204333333333333,0.27305862307548523
27,0.9215833333333333,0.26842164993286133
28,0.9223666666666667,0.2645096778869629
29,0.9241,0.25932127237319946
30,0.9253166666666667,0.2525573968887329
31,0.9273166666666667,0.24647745490074158
32,0.92865,0.24142016470432281
33,0.9300666666666667,0.23651577532291412
34,0.9317166666666666,0.23187895119190216
35,0.9331166666666667,0.2273382842540741
36,0.9346,0.2232813537120819
37,0.9352,0.21980759501457214
38,0.9373,0.216142475605011
39,0.9387333333333333,0.21225261688232422
40,0.9399666666666666,0.20828235149383545
41,0.9405333333333333,0.20452401041984558
42,0.9421333333333334,0.2011949121952057
43,0.9427166666666666,0.1982247531414032
44,0.9430833333333334,0.19555813074111938
45,0.94415,0.19222114980220795
46,0.94525,0.18943430483341217
47,0.9470166666666666,0.18653440475463867
48,0.9478833333333333,0.18363985419273376
49,0.94855,0.18138965964317322
50,0.9491333333333334,0.17915762960910797
51,0.9493666666666667,0.17685028910636902
52,0.9501833333333334,0.17457038164138794
53,0.9511833333333334,0.17240872979164124
54,0.9515,0.17026543617248535
55,0.9521666666666667,0.16814209520816803
56,0.9531166666666666,0.16562068462371826
57,0.9532666666666667,0.16345758736133575
58,0.9543666666666667,0.16171948611736298
59,0.9551333333333333,0.16017462313175201
60,0.9560166666666666,0.15876758098602295
61,0.9568666666666666,0.15699467062950134
62,0.9573333333333334,0.15512074530124664
63,0.9574666666666667,0.1533897966146469
64,0.9580833333333333,0.1512625813484192
65,0.9588833333333333,0.14947915077209473
66,0.9592,0.1483127921819687
67,0.95905,0.14738231897354126
68,0.9596166666666667,0.14601124823093414
69,0.9602833333333334,0.14483505487442017
70,0.96005,0.14328330755233765
71,0.9606,0.141698956489563
72,0.96095,0.1405206024646759
73,0.9616833333333333,0.13895283639431
74,0.96225,0.13799841701984406
75,0.9627333333333333,0.13662846386432648
76,0.9627,0.13508322834968567
77,0.96335,0.13389991223812103
78,0.9634166666666667,0.1327066272497177
79,0.9638,0.1311025619506836
80,0.9643666666666667,0.1296827346086502
81,0.9647833333333333,0.12851519882678986
82,0.9649666666666666,0.12791070342063904
83,0.9656166666666667,0.1266348510980606
84,0.9657333333333333,0.1254170536994934
85,0.9661833333333333,0.12402579933404922
86,0.96665,0.1225794106721878
87,0.9666333333333333,0.1212359145283699
88,0.9669,0.1206015944480896
89,0.9667,0.11958668380975723
90,0.9673,0.11844430863857269
91,0.9682333333333333,0.11703182011842728
92,0.9683,0.11663779616355896
93,0.9685333333333334,0.11649271100759506
94,0.96875,0.11530309915542603
95,0.96885,0.11431726813316345
96,0.9690166666666666,0.1137697622179985
97,0.9691666666666666,0.11316973716020584
98,0.9691,0.11274076998233795
99,0.9691333333333333,0.11226353049278259
100,0.9696833333333333,0.11107303947210312
101,0.9702666666666667,0.11008931696414948
102,0.9706166666666667,0.10883209854364395
103,0.9707833333333333,0.10873916745185852
104,0.9706333333333333,0.10848399996757507
105,0.9704666666666667,0.10799872130155563
106,0.97095,0.10723220556974411
107,0.9707,0.10692085325717926
108,0.97105,0.10625825822353363
109,0.97105,0.10576531291007996
110,0.9711666666666666,0.10528410971164703
111,0.97145,0.10399738699197769
112,0.97155,0.1030675619840622
113,0.9718833333333333,0.10236287117004395
114,0.9714,0.10199546813964844
115,0.9719,0.10131246596574783
116,0.9721833333333333,0.10048200190067291
117,0.9728833333333333,0.09984858334064484
118,0.9730166666666666,0.09916005283594131
119,0.9731833333333333,0.09885214269161224
120,0.9733166666666667,0.09885162115097046
