epochs,accuracy,loss
0,0.058083333333333334,2.4019224643707275
1,0.41096666666666665,1.8461430072784424
2,0.4983666666666667,1.9280474185943604
3,0.4485,2.017282485961914
4,0.46686666666666665,1.8070034980773926
5,0.6505666666666666,1.1460516452789307
6,0.6544166666666666,1.098381519317627
7,0.6716333333333333,1.0825496912002563
8,0.7018,0.9093834161758423
9,0.7613,0.7466624975204468
10,0.7624833333333333,0.7244550585746765
11,0.80145,0.6333221793174744
12,0.8541,0.49848055839538574
13,0.8608166666666667,0.47370731830596924
14,0.8516333333333334,0.4879257380962372
15,0.86225,0.46019160747528076
16,0.8786833333333334,0.41739046573638916
17,0.8875833333333333,0.39498409628868103
18,0.88745,0.3867408335208893
19,0.8909666666666667,0.3717009127140045
20,0.8986833333333333,0.34546709060668945
21,0.9050166666666667,0.32262203097343445
22,0.9086833333333333,0.3118080496788025
23,0.90845,0.3093641996383667
24,0.9085666666666666,0.3073948919773102
25,0.9106333333333333,0.29865461587905884
26,0.916,0.284056693315506
27,0.9214166666666667,0.26836737990379333
28,0.9253333333333333,0.25700241327285767
29,0.9267,0.2514846622943878
30,0.9275833333333333,0.24961362779140472
31,0.9282833333333333,0.24799031019210815
32,0.9297333333333333,0.24302509427070618
33,0.9324333333333333,0.2340584546327591
34,0.9343333333333333,0.22541218996047974
35,0.9365333333333333,0.21933068335056305
36,0.9368333333333333,0.21587586402893066
37,0.9378666666666666,0.2134285271167755
38,0.93925,0.21006301045417786
39,0.9404666666666667,0.20518040657043457
40,0.9418,0.20023152232170105
41,0.94335,0.19573211669921875
42,0.9443666666666667,0.19206690788269043
43,0.9454,0.18913860619068146
44,0.9463,0.1859607845544815
45,0.94685,0.1826324611902237
46,0.9482666666666667,0.17948555946350098
47,0.9491666666666667,0.17689280211925507
48,0.94975,0.17413528263568878
49,0.9510333333333333,0.17180994153022766
50,0.9521333333333334,0.1691850870847702
51,0.9530166666666666,0.1664961874485016
52,0.9535833333333333,0.16389396786689758
53,0.9543666666666667,0.1613168567419052
54,0.9548833333333333,0.15882621705532074
55,0.95555,0.1565704494714737
56,0.95635,0.15445493161678314
57,0.9566166666666667,0.15211087465286255
58,0.9578,0.15016132593154907
59,0.95835,0.14806939661502838
60,0.95895,0.1460915356874466
61,0.95925,0.14418815076351166
62,0.9594166666666667,0.14255201816558838
63,0.9603166666666667,0.1409071832895279
64,0.9605666666666667,0.13891203701496124
65,0.961,0.13692869246006012
66,0.9615666666666667,0.13546854257583618
67,0.96225,0.13401149213314056
68,0.9627166666666667,0.1323692798614502
69,0.9628166666666667,0.13102728128433228
70,0.9636,0.12960509955883026
71,0.9641333333333333,0.12819798290729523
72,0.9644666666666667,0.12693408131599426
73,0.9644833333333334,0.12582725286483765
74,0.9651833333333333,0.12457732856273651
75,0.9652666666666667,0.12333948910236359
76,0.9653666666666667,0.12174549698829651
77,0.966,0.12020107358694077
78,0.9661333333333333,0.11913406848907471
79,0.96675,0.11800462007522583
80,0.9673333333333334,0.11647330969572067
81,0.9677333333333333,0.11510727554559708
82,0.9681333333333333,0.114042267203331
83,0.9687666666666667,0.11288411170244217
84,0.9694166666666667,0.11150127649307251
85,0.9693333333333334,0.110275499522686
86,0.96985,0.10948208719491959
87,0.97025,0.10827071219682693
88,0.9709166666666667,0.10725179314613342
89,0.9709333333333333,0.10639678686857224
90,0.9712666666666666,0.10528691858053207
91,0.9713833333333334,0.10416185855865479
92,0.9714833333333334,0.10367412120103836
93,0.9717166666666667,0.10292425006628036
94,0.9719666666666666,0.1017608791589737
95,0.9722666666666666,0.10105102509260178
96,0.9725833333333334,0.0998496562242508
97,0.97325,0.09851449728012085
98,0.9737666666666667,0.09757550805807114
99,0.9739833333333333,0.09670960903167725
100,0.9743333333333334,0.09606528282165527
101,0.9745666666666667,0.09554609656333923
102,0.9746,0.09476308524608612
103,0.9750333333333333,0.09348272532224655
104,0.9751166666666666,0.0926169902086258
105,0.9752166666666666,0.09215997159481049
106,0.9752166666666666,0.09180881828069687
107,0.9749666666666666,0.0916329100728035
108,0.9754833333333334,0.09106234461069107
109,0.9757166666666667,0.09013354033231735
110,0.97605,0.08964285999536514
111,0.9763833333333334,0.08878014981746674
112,0.9764333333333334,0.08827870339155197
113,0.9768,0.0873451977968216
114,0.9769833333333333,0.08644933253526688
115,0.97735,0.08558386564254761
116,0.97755,0.08505804091691971
117,0.97765,0.0848587155342102
118,0.9775833333333334,0.08474341034889221
119,0.9775166666666667,0.08438052237033844
120,0.97815,0.08328470587730408
121,0.9782333333333333,0.08233439177274704
122,0.97815,0.08166594803333282
123,0.9786,0.0809858962893486
124,0.9788166666666667,0.08053281903266907
125,0.9787666666666667,0.08016254752874374
126,0.979,0.07959634810686111
