learning_rate,hidden_size1,hidden_size2,accuracy
0.001,8,256,0.24583333333333332
0.001,16,4,0.2658333333333333
0.001,16,8,0.26416666666666666
0.001,16,16,0.2866666666666667
0.001,16,32,0.20166666666666666
0.001,16,64,0.3075
0.001,16,128,0.22166666666666668
0.001,16,256,0.315
0.001,32,4,0.2816666666666667
0.001,32,8,0.25583333333333336
0.001,32,16,0.295
0.001,32,32,0.2733333333333333
0.001,32,64,0.235
0.001,32,128,0.2791666666666667
0.001,32,256,0.295
0.001,64,4,0.24333333333333335
0.001,64,8,0.25166666666666665
0.001,64,16,0.27166666666666667
0.001,64,32,0.21916666666666668
0.001,64,64,0.2925
0.001,64,128,0.2525
0.001,64,256,0.2775
0.001,128,4,0.24
0.001,128,8,0.255
0.001,128,16,0.21916666666666668
0.001,128,32,0.21
0.001,128,64,           # cancelled ; new: removing softmax
0.001,4,4,0.25166666666666665
0.001,4,8,0.29583333333333334
0.001,4,16,0.2725
0.001,4,32,0.2683333333333333
0.001,4,64,0.3225
0.001,4,128,0.2683333333333333
0.001,4,256,0.30333333333333334
0.001,8,4,0.2825
0.001,8,8,0.25666666666666665
0.001,8,16,0.25666666666666665
0.001,8,32,0.2791666666666667
0.001,8,64,0.265
0.001,8,128,0.2916666666666667
0.001,8,256,0.26666666666666666
0.001,16,4,0.26916666666666667
0.001,16,8,0.2525
0.001,16,16,0.30333333333333334
0.001,16,32,0.265
0.001,16,64,0.29833333333333334
0.001,16,128,0.26
0.001,16,256,0.24916666666666668
0.001,32,4,0.24166666666666667
0.001,32,8,0.2683333333333333
0.001,32,16,0.2975
0.001,32,32,0.27416666666666667
0.001,32,64,0.23666666666666666
0.001,32,128,0.24833333333333332
0.001,32,256,0.29083333333333333
0.001,64,4,0.29333333333333333
0.001,64,8,0.265
0.001,64,16,0.2916666666666667
0.001,64,32,0.2775
0.001,64,64,0.27166666666666667
0.001,64,128,0.2966666666666667
0.001,64,256,0.28583333333333333
0.001,128,4,0.2941666666666667
0.001,128,8,0.30833333333333335
0.001,128,16,0.3075
0.001,128,32,0.29
0.001,128,64,           # Restarting with more epochs
0.001,4,4,0.34
0.001,4,8,0.31416666666666665
0.001,4,16,0.36
0.001,4,32,0.285
0.001,4,64,0.33166666666666667
0.001,4,128,0.3466666666666667
0.001,4,256,0.25166666666666665
0.001,8,4,0.3466666666666667
0.001,8,8,0.33916666666666667
0.001,8,16,0.31333333333333335
0.001,8,32,0.31833333333333336
0.001,8,64,0.3725
0.001,8,128,0.30916666666666665
0.001,8,256,0.2833333333333333
0.001,16,4,0.31
0.001,16,8,0.3625
0.001,16,16,
