learning_rate,hidden_size,accuracy
0.001,64,0.48583333333333334
0.001,128,0.5983333333333334
0.001,256,0.5866666666666667
0.001,512,0.5541666666666667
0.001,1028,0.6416666666666667
0.01,64,
